,id,p,theta,beta,nphe,ein,eout
76,proton,1.0640100000000001,0.31759899999999996,0.7593260000000001,0,0.128771,0.07113760000000001
77,proton,1.7445599999999999,0.11713,0.875481,0,0.036759,0.0496223
78,proton,2.29847,0.299433,0.9254020000000001,0,0.029480400000000004,0.0492561
79,proton,1.26528,0.500111,0.802366,0,0.0494392,0.073518
80,pion,0.9222549999999999,0.26345799999999997,0.9999530000000001,0,0.030808,0.0478828
81,proton,1.07362,0.521293,0.756269,0,0.0429389,0.161273
82,proton,2.82841,0.428462,0.9561700000000001,0,0.0308995,0.240696
83,proton,2.41321,0.311276,0.934803,0,0.233463,0.08317689999999998
84,pion,0.899214,0.22657800000000003,0.9919180000000001,0,0.0285649,0.174273
85,pion,0.508583,0.34465100000000004,0.978424,0,0.0469215,0.0607004
86,pion,2.09079,0.41967200000000005,0.994139,0,0.036347000000000004,0.0810254
87,proton,1.82788,0.20625500000000002,0.910724,0,0.174548,0.310643
88,proton,2.34592,0.168958,0.922767,0,0.0962692,0.0699931
89,proton,2.23362,0.19727999999999998,0.9262530000000001,0,0.0314031,0.12826700000000002
90,pion,1.01152,0.375418,0.975457,133,0.0280613,0.149783
91,pion,2.2816799999999997,0.310815,0.98779,0,0.024948500000000002,0.0582742
92,proton,0.8520639999999999,0.530543,0.672689,0,0.08551160000000001,0.05658049999999999
93,pion,1.7030599999999998,0.46595600000000004,1.002,0,0.200732,0.134768
94,proton,1.29122,0.339839,0.8068350000000001,0,0.0404212,0.136141
95,proton,1.29702,0.23378000000000002,0.815284,0,0.0425269,0.076997
96,proton,2.14328,0.30736199999999997,0.971563,0,0.0280613,0.284916
97,proton,1.22606,0.274881,0.790912,0,0.017441099999999998,0.133944
98,pion,1.15267,0.440935,1.00651,0,0.025497799999999998,0.0350652
99,pion,1.7077900000000001,0.361666,0.997765,0,0.134676,0.240879
100,proton,1.35637,0.42387299999999994,0.8282280000000001,0,0.127443,0.160449
101,proton,1.41192,0.539185,0.840194,0,0.039826,0.0482032
102,proton,1.3315,0.272411,0.8261870000000001,0,0.044632599999999995,0.109819
103,pion,2.45716,0.5115770000000001,0.9865719999999999,0,0.0535134,0.0471962
104,proton,1.3965100000000001,0.405852,0.8253370000000001,0,0.0625315,0.377798
105,pion,2.93919,0.19931300000000002,1.00076,0,0.027374700000000002,0.42298
106,proton,1.4859200000000001,0.5199020000000001,0.839772,0,0.026092900000000002,0.0556649
107,pion,1.08995,0.284154,0.984244,0,0.0436713,0.16356099999999998
108,proton,1.4548,0.45983999999999997,0.8357620000000001,0,0.053193,0.0819409
109,proton,1.64462,0.229584,0.565541,0,0.0478828,0.11604500000000001
110,kaon,2.54185,0.325799,0.9904729999999999,0,0.0372168,0.7581600000000001
111,proton,0.899062,0.535613,0.6889149999999999,0,0.06825360000000001,0.075761
112,proton,1.31197,0.157992,0.8054399999999999,0,0.13051,0.106432
113,pion,2.60685,0.191631,0.9973879999999999,6,0.20736999999999997,0.0931563
114,proton,2.28107,0.182831,0.9277110000000001,0,0.0354772,0.0366674
115,proton,0.9617760000000001,0.394716,0.713437,0,0.0592355,0.13128900000000002
116,pion,2.4544099999999998,0.194377,0.994283,0,0.046326400000000004,0.25127
117,kaon,1.38933,0.295408,0.9366620000000001,0,0.034744800000000006,0.0688029
118,proton,0.964675,0.158002,0.720783,0,0.236301,0.0350652
119,pion,1.91135,0.304236,0.9774360000000001,0,0.41767,0.0204166
120,proton,1.82361,0.298228,0.8980290000000001,0,0.126848,0.0531014
121,kaon,1.15785,0.263586,0.926623,0,0.032867900000000005,0.0497597
122,proton,1.04982,0.458732,0.7401,0,0.045777099999999994,0.121813
123,proton,2.09903,0.27895,0.919852,0,0.0893568,0.34081
124,kaon,0.809949,0.193708,0.8473700000000001,0,0.0467842,0.170382
125,pion,1.66491,0.34633600000000003,0.9947010000000001,0,0.170336,0.036530099999999996
126,pion,1.62646,0.571643,0.988339,0,0.06720069999999999,0.20549299999999998
127,pion,2.10605,0.43760699999999997,0.99075,0,0.244038,0.0484779
128,pion,0.9423969999999999,0.46843900000000005,0.985614,0,0.0415656,0.0529183
129,proton,0.821241,0.458608,0.658235,0,0.07777519999999999,0.0462806
130,pion,0.872511,0.324395,0.97751,0,0.0149691,0.181323
131,proton,1.0827799999999999,0.639925,0.757356,0,0.0417487,0.128359
132,proton,0.8877700000000001,0.492741,0.683664,50,0.14438099999999998,0.11572400000000001
133,pion,3.0605,0.181776,0.997825,5,0.033691900000000004,0.045136199999999994
134,proton,1.0569899999999999,0.504253,0.748659,0,0.0530556,0.153399
135,proton,1.53277,0.425947,0.853115,0,0.0769055,0.0473793
136,proton,2.61143,0.301804,0.945628,0,0.222156,0.130465
137,proton,1.41695,0.35975,0.8405739999999999,0,0.0448157,0.0558938
138,pion,1.39925,0.231587,0.997092,0,0.162142,0.100298
139,pion,1.6321,0.179779,0.99734,0,0.0347906,0.17908
140,pion,1.15648,0.385711,0.983482,0,0.0360266,0.042298
141,proton,3.1458,0.366691,0.9612709999999999,0,0.021881400000000002,0.050720999999999995
142,proton,1.29198,0.59563,0.807996,0,0.17084000000000002,0.21950100000000003
143,pion,1.38964,0.22317800000000002,0.997359,0,0.0284276,0.06463719999999999
144,pion,1.24681,0.510756,0.995808,0,0.029892400000000003,0.076585
145,pion,1.2837399999999999,0.349141,0.995603,0,0.0178988,0.0664683
146,pion,1.7932400000000002,0.58318,1.0019200000000001,0,0.0212863,0.37253400000000003
147,proton,2.12863,0.22214899999999999,0.9030020000000001,0,0.043533999999999996,0.0513619
148,pion,2.19425,0.218336,1.00451,0,0.026688,0.21666300000000002
149,pion,1.41787,0.252581,0.9836010000000001,0,0.0326848,0.0679789
150,proton,1.48165,0.49498100000000006,0.832364,0,0.228107,0.028839599999999996
151,proton,1.1320700000000001,0.477603,0.776845,0,0.048798400000000006,0.08766310000000001
152,pion,2.14816,0.29857100000000003,0.991607,0,0.035568800000000005,0.0789654
153,pion,1.32921,0.402066,0.994181,0,0.0368048,0.0569924
154,proton,1.26986,0.542329,0.80465,0,0.0323644,0.25951
155,proton,0.8561840000000001,0.12687,0.686051,0,0.0867475,0.0579995
156,pion,0.5998319999999999,0.25901799999999997,0.973087,0,0.0453651,0.0999313
157,pion,0.71809,0.468772,1.00826,0,0.051773900000000005,0.14511300000000002
158,proton,0.98436,0.288132,0.723982,0,0.047287699999999995,0.140627
159,pion,1.60845,0.273807,0.999833,0,0.0174868,0.09906160000000001
160,kaon,2.8264299999999998,0.168147,0.969875,0,0.0318608,0.0536965
161,pion,1.72732,0.276462,0.964335,0,0.163928,0.032822199999999996
162,proton,1.31228,0.257936,0.821209,0,0.117556,0.08331430000000001
163,proton,1.08446,0.568553,0.74064,0,0.0471504,0.142184
164,proton,1.07866,0.28567600000000004,0.7656270000000001,0,0.0418402,0.150149
165,pion,1.3095299999999999,0.16154000000000002,0.9878540000000001,0,0.034973699999999996,0.232319
166,proton,1.43313,0.416246,0.841217,0,0.170382,0.0681163
167,proton,1.3328799999999998,0.204965,0.811789,0,0.0320897,0.0765393
168,pion,1.07027,0.21015,1.00045,88,0.11014000000000002,0.0628977
169,proton,1.52148,0.237065,0.86262,0,0.1084,0.0921492
170,pion,2.5182,0.138915,0.996607,0,0.032181299999999996,0.0473335
171,proton,1.46242,0.4477,0.840548,0,0.149233,0.08958569999999999
172,proton,1.1145200000000002,0.363824,0.756474,0,0.0461891,0.0916915
173,kaon,1.42931,0.184144,0.950974,0,0.03483630000000001,0.037995
174,pion,2.13733,0.255431,1.00099,0,0.0372625,0.03630119999999999
175,proton,1.46807,0.311844,0.819749,0,0.035523,0.140261
176,pion,1.8217700000000001,0.380604,0.9940100000000001,0,0.179034,0.257954
177,pion,1.0695,0.16563699999999998,1.00095,0,0.20155599999999999,0.09658960000000001
178,pion,2.43641,0.268371,0.9948299999999999,0,0.0369421,0.0543374
179,kaon,0.817578,0.52287,0.8559129999999999,0,0.045777099999999994,0.0918288
180,pion,1.61471,0.29788200000000004,0.9946020000000001,0,0.06775010000000001,0.024628099999999997
181,proton,1.2117200000000001,0.36081399999999997,0.789987,0,0.127352,0.015335299999999998
182,proton,1.39727,0.337427,0.827842,0,0.032272800000000004,0.0578164
183,pion,2.31662,0.24839899999999998,0.986643,0,0.147311,0.0628519
184,proton,1.6725400000000001,0.48473,0.8605360000000001,0,0.0376287,0.0546578
185,proton,1.11437,0.538724,0.764174,0,0.037170999999999996,0.277317
186,proton,1.43313,0.167294,0.83016,0,0.318288,0.195148
187,pion,2.0441,0.122195,0.9993190000000001,0,0.13559200000000002,0.138018
188,pion,1.34569,0.205473,1.01284,0,0.028198700000000004,0.252506
189,proton,1.3864299999999998,0.33513000000000004,0.820066,0,0.0552987,0.535866
190,proton,0.981308,0.42815699999999995,0.724598,0,0.0289769,0.07342639999999999
191,proton,1.96933,0.397388,0.911041,0,0.135775,0.239414
192,proton,1.27916,0.251077,0.794616,0,0.0891737,0.123323
193,proton,1.48425,0.45480699999999996,0.833219,0,0.045777099999999994,0.185718
194,pion,0.581979,0.478075,1.00193,0,0.028198700000000004,0.0601511
195,proton,0.912947,0.32963000000000003,0.6988479999999999,0,0.0512703,0.086656
196,pion,1.30434,0.337679,0.997275,0,0.115999,0.05575650000000001
197,proton,3.3043400000000003,0.14435499999999998,0.9482079999999999,0,0.32474200000000003,0.559991
198,proton,3.21218,0.35428000000000004,0.965355,0,0.178897,0.167269
199,proton,0.9369040000000001,0.192113,0.7069300000000001,0,0.0678416,0.0920577
200,proton,1.49538,0.3462,0.851376,0,0.038544300000000004,0.11252000000000001
201,proton,1.07301,0.404517,0.770647,0,0.043076199999999995,0.132753
202,pion,1.25383,0.319769,0.996309,0,0.029388900000000003,0.07077130000000001
203,proton,1.28237,0.288482,0.807996,0,0.039185199999999996,0.09233229999999999
204,proton,0.917525,0.37482,0.696627,0,0.06276040000000001,0.110323
205,proton,2.4271,0.189906,0.9285459999999999,0,0.0376745,0.052780999999999995
206,proton,1.2004299999999999,0.29115,0.783725,0,0.05383380000000001,0.0928359
207,proton,1.57427,0.352601,0.870554,0,0.10547000000000001,0.0969558
208,pion,1.7941599999999998,0.193306,0.9944940000000001,0,0.20009200000000002,0.11746400000000001
209,pion,2.06622,0.180241,1.00537,0,0.0327306,0.0475166
210,proton,2.89876,0.368675,0.953368,0,0.0291142,0.298009
211,pion,0.727703,0.42876899999999996,0.986265,0,0.0390478,0.0341039
212,proton,1.3772799999999998,0.353426,0.847382,0,0.0390478,0.232227
213,pion,0.608682,0.13256500000000002,0.977139,0,0.0346075,0.0486152
214,proton,1.8889099999999999,0.323829,0.9000100000000001,0,0.0341039,0.05200269999999999
215,proton,1.1795200000000001,0.18600000000000003,0.781996,0,0.0404212,0.0778668
216,proton,1.7479200000000001,0.361428,0.8752610000000001,0,0.034653199999999995,0.0539712
217,proton,1.4189399999999999,0.348281,0.825918,0,0.0496681,0.0672923
218,proton,1.3135,0.43278199999999994,0.819067,0,0.028198700000000004,0.164019
219,pion,0.723583,0.552718,0.9820110000000001,0,0.042298,0.09526210000000002
220,proton,2.47562,0.276391,0.928476,0,0.032822199999999996,0.060654599999999996
221,pion,1.45327,0.275321,1.02062,0,0.032822199999999996,0.185809
222,pion,2.33371,0.156654,1.0075100000000001,0,0.0768597,0.263447
223,proton,1.2961,0.44244700000000003,0.803301,0,0.0639048,0.20416600000000001
224,pion,0.818189,0.287695,0.9924290000000001,0,0.027145799999999998,0.0456397
225,pion,0.8719,0.6057359999999999,0.9927,0,0.0227512,0.043533999999999996
226,proton,1.39162,0.6459560000000001,0.820664,0,0.0395972,0.07544060000000001
227,pion,1.9321,0.22275999999999999,0.9810629999999999,0,0.030304400000000006,0.0603799
228,kaon,3.23644,0.27608499999999997,0.996469,0,0.307073,0.0436713
229,kaon,3.2607,0.203844,0.9923850000000001,0,0.19794,0.147311
230,proton,2.206,0.396986,0.918969,0,0.354864,0.130465
231,proton,1.49447,0.376585,0.8601639999999999,0,0.0314488,0.0686198
232,proton,2.66209,0.206223,0.9511280000000001,0,0.032639,0.119341
233,kaon,1.3861299999999999,0.210362,0.931544,0,0.029343099999999997,0.043396699999999996
234,proton,1.74853,0.393505,0.8665930000000001,0,0.128634,0.170977
235,pion,0.940566,0.323056,0.991382,0,0.0324102,0.0498054
236,proton,1.9031099999999999,0.159973,0.896717,0,0.263401,0.24838600000000002
237,pion,1.6882599999999999,0.21383600000000003,0.981615,0,0.041474000000000004,0.0437171
238,proton,2.29862,0.23065300000000002,0.9285530000000001,0,0.04687569999999999,0.680613
239,proton,1.06508,0.195115,0.7492270000000001,0,0.11540399999999999,0.168322
240,proton,1.2117200000000001,0.404314,0.779459,0,0.0472419,0.08134580000000001
241,proton,1.6408,0.286283,0.867973,0,0.162554,0.30130500000000005
242,pion,1.24987,0.24984800000000001,0.994769,0,0.06088350000000001,0.055390199999999994
243,proton,1.9028,0.241483,0.89045,0,0.028244400000000003,0.052048500000000004
244,pion,3.0063299999999997,0.278121,1.00219,0,0.293248,0.0332341
245,pion,1.3481299999999998,0.459608,0.996524,0,0.0454108,0.059739099999999996
246,pion,1.4258,0.592146,1.0040799999999999,0,0.04531930000000001,0.0496681
247,pion,1.41054,0.295869,1.02102,0,0.0457313,0.047837
248,pion,1.37209,0.291695,1.00034,0,0.027374700000000002,0.050080099999999995
249,proton,1.59838,0.264074,0.8637100000000001,0,0.0449989,0.0499428
250,kaon,0.538643,0.355551,0.730785,0,0.174777,0.0639048
251,proton,3.13176,0.18938,0.95709,0,0.274708,0.0471504
252,proton,1.34905,0.257467,0.828,0,0.060471500000000004,0.16630799999999998
253,proton,1.2178200000000001,0.12150799999999999,0.799429,0,0.0356603,0.0751659
254,pion,1.73373,0.448031,0.951363,0,0.0957656,0.143099
255,proton,1.02434,0.562823,0.7314689999999999,0,0.020737000000000002,0.135958
256,proton,1.53841,0.354757,0.8432729999999999,0,0.0381781,0.0519112
257,pion,0.8628979999999999,0.60249,0.98508,0,0.0341955,0.041977600000000004
258,proton,1.7021400000000002,0.459608,0.8920520000000001,0,0.0249027,0.23703400000000002
259,pion,1.02663,0.506567,0.9956520000000001,0,0.034012400000000005,0.046417900000000005
260,pion,0.556344,0.382544,0.974567,80,0.0410163,0.0776379
261,pion,0.57908,0.217937,0.9731120000000001,77,0.0656443,0.14941600000000002
262,pion,1.11192,0.353487,1.00505,0,0.037995,0.0469215
263,pion,2.47395,0.441352,1.0064,0,0.026733799999999995,0.052780999999999995
264,pion,1.18486,0.262946,0.983266,0,0.12748900000000002,0.170977
265,pion,3.0095400000000003,0.142326,0.9962479999999999,0,0.0376287,0.499199
266,pion,1.21767,0.463265,0.984294,0,0.0304875,0.0596475
267,proton,1.48241,0.706384,0.841549,0,0.255985,0.11165
268,proton,1.30617,0.630612,0.811127,0,0.0467842,0.07205310000000001
269,proton,0.8053710000000001,0.313126,0.654309,83,0.136965,0.0578164
270,proton,1.9153099999999998,0.211529,0.907964,0,0.21464899999999998,0.059006600000000006
271,kaon,0.839551,0.46503199999999995,0.85311,0,0.0330968,0.0651408
272,pion,0.585184,0.41784799999999994,0.9695030000000001,0,0.0910964,0.14895899999999998
273,pion,1.5687799999999998,0.497741,0.997801,0,0.025314700000000002,0.0469215
274,proton,2.05722,0.183317,0.891014,0,0.044632599999999995,0.06871139999999999
275,proton,1.84527,0.5952810000000001,0.890601,0,0.0433051,0.0651865
276,pion,2.17655,0.34039200000000003,0.9973489999999999,0,0.034653199999999995,0.237537
277,proton,1.82254,0.44527700000000003,0.887526,0,0.03598080000000001,0.06211950000000001
278,pion,1.00298,0.5864590000000001,0.980295,0,0.0415656,0.0370336
279,proton,1.23568,0.277345,0.784817,0,0.0493935,0.0690318
280,proton,2.02197,0.234681,0.9148379999999999,0,0.035935,0.049485
281,proton,1.28664,0.556867,0.8203889999999999,0,0.13916199999999998,0.12309500000000001
282,kaon,1.7799599999999998,0.147785,0.9790530000000001,0,0.034653199999999995,0.0471962
283,pion,1.31228,0.28527600000000003,1.0041200000000001,0,0.271733,0.13234200000000002
284,pion,1.08995,0.47877600000000003,0.9906440000000001,0,0.0379034,0.0446784
285,proton,0.9698629999999999,0.506771,0.717988,0,0.0576791,0.11389300000000001
286,proton,1.07515,0.279967,0.574846,0,0.0916915,0.09782560000000001
287,pion,1.12871,0.31154299999999996,0.99946,0,0.0380865,0.038223900000000005
288,pion,2.2319400000000003,0.329437,0.9968450000000001,0,0.09443810000000001,0.08523689999999999
289,pion,2.70375,0.336505,0.998023,0,0.032867900000000005,0.390753
290,proton,2.02045,0.25567199999999995,0.911587,0,0.018265,0.056397300000000004
291,proton,2.5481,0.345921,0.941843,0,0.347219,0.225406
292,pion,2.10819,0.206421,0.9821049999999999,0,0.304006,0.047058800000000005
293,pion,1.5858700000000001,0.29946799999999996,0.9959809999999999,0,0.0462806,0.0934768
294,pion,0.9161520000000001,0.24185700000000002,0.991504,0,0.0332341,0.056672
295,pion,1.1972200000000002,0.158592,0.989309,0,0.117052,0.0486152
296,proton,1.46212,0.245365,0.8506090000000001,0,0.0327306,0.0519112
297,pion,1.6621700000000001,0.412162,0.994022,0,0.11851700000000001,0.034332800000000004
298,proton,1.18349,0.252246,0.788891,0,0.0564431,0.200229
299,proton,1.1982899999999999,0.154308,0.783447,0,0.047425,0.102495
300,pion,1.22423,0.36014,0.983675,0,0.030579099999999998,0.115175
301,proton,0.9521629999999999,0.614371,0.738274,0,0.051773900000000005,0.0710918
302,pion,3.10307,0.336489,1.01131,0,0.0317693,0.0390478
303,pion,1.07378,0.49247299999999994,1.00577,0,0.215015,0.0590524
304,pion,2.63645,0.267788,0.9888600000000001,9,0.0415656,0.061158199999999996
305,proton,1.13893,0.36039499999999997,0.76081,0,0.07713439999999999,0.0436255
306,pion,2.61555,0.39529000000000003,0.982525,0,0.154086,0.173266
307,pion,1.69345,0.435698,1.0122,0,0.0396429,0.319936
308,positron,0.588846,0.386662,0.997568,20,0.085832,0.05383380000000001
309,pion,1.12459,0.24641999999999997,0.9934729999999999,0,0.0363928,0.15436
310,pion,2.20554,0.5176350000000001,0.999035,0,0.204715,0.22929699999999997
311,pion,0.8494700000000001,0.41438100000000005,0.983295,0,0.0408331,0.147402
312,pion,1.7052,0.39324000000000003,0.9877239999999999,0,0.0267796,0.0649577
313,proton,4.46815,0.312526,0.991034,0,0.0357519,0.04234380000000001
314,pion,1.2224,0.23048000000000002,1.00559,0,0.025863999999999998,0.041931800000000005
315,pion,1.0367,0.551516,0.989376,0,0.137377,0.0623941
316,proton,1.9377400000000002,0.150053,0.9445540000000001,0,0.034699,0.0561227
317,proton,1.7813400000000001,0.326325,0.879619,0,0.0323644,0.168048
318,proton,1.57061,0.251911,0.8681110000000001,0,0.0317693,0.0429847
319,proton,0.90486,0.528411,0.71236,0,0.057908,0.0941634
320,proton,0.8303959999999999,0.232291,0.655884,0,0.068574,0.0380407
321,pion,2.44144,0.212946,0.9991260000000001,0,0.0298009,0.047745499999999996
322,pion,0.9797819999999999,0.399072,0.987633,0,0.0325933,0.0395514
323,proton,3.4982800000000003,0.28176100000000004,0.9815360000000001,0,0.554818,0.29082199999999997
324,pion,1.41482,0.428781,0.9993860000000001,0,0.0461891,0.0392767
325,pion,1.0454,0.391813,0.974675,131,0.034561699999999994,0.0758068
326,proton,1.12856,0.463996,0.779351,0,0.0723278,0.06971849999999999
327,proton,1.3481299999999998,0.244581,0.828153,0,0.0524605,0.0701762
328,proton,1.86053,0.370263,0.8796930000000001,0,0.369284,0.18407
329,kaon,2.4203900000000003,0.262196,0.977037,0,0.0383612,0.0585489
330,pion,1.63333,0.542345,0.9955790000000001,0,0.175738,0.088304
331,pion,1.0739299999999998,0.488777,1.00064,0,0.038773199999999994,0.0395514
332,pion,0.9021129999999999,0.289833,0.97604,0,0.164157,0.0844587
333,pion,1.7915599999999998,0.216088,0.992389,0,0.0285649,0.042710000000000005
334,proton,1.43679,0.411238,0.836528,0,0.050720999999999995,0.347723
335,proton,2.18509,0.326971,0.919191,0,0.0373083,0.0446784
336,pion,1.99878,0.198072,1.01407,0,0.0333715,0.0353857
337,proton,1.2871,0.338979,0.797162,0,0.183566,0.159625
338,pion,0.746471,0.412757,0.9792059999999999,0,0.0531014,0.0787366
339,proton,0.829633,0.436175,0.663622,0,0.05722130000000001,0.0343786
340,proton,2.72602,0.388074,0.9625049999999999,0,0.030624900000000004,0.0478828
341,pion,2.43015,0.10880699999999999,1.00345,0,0.18233,0.144564
342,proton,1.0576,0.144011,0.743165,0,0.048020099999999996,0.105104
343,pion,1.79873,0.257248,0.9730840000000001,0,0.299336,0.112108
344,proton,1.3547,0.5563560000000001,0.8310770000000001,0,0.08061339999999999,0.09173719999999999
345,proton,1.53872,0.358187,0.8497239999999999,0,0.029388900000000003,0.07260239999999998
346,pion,1.83169,0.198228,0.992685,0,0.134447,0.1149
347,pion,2.41932,0.165075,1.00179,0,0.3252,0.144244
348,proton,2.37308,0.304284,0.9322229999999999,0,0.169696,0.162966
349,proton,1.38491,0.486522,0.813376,0,0.047745499999999996,0.0704051
350,proton,1.53506,0.398881,0.8595969999999999,0,0.0241245,0.059372900000000006
351,pion,0.9271379999999999,0.342487,0.9907950000000001,0,0.042801599999999995,0.21799000000000002
352,pion,1.6040299999999998,0.339273,0.999983,0,0.031540399999999996,0.233875
353,pion,1.29351,0.652889,1.01419,0,0.037170999999999996,0.0417945
354,kaon,1.9379,0.218005,0.9782569999999999,0,0.0200961,0.0548867
355,pion,2.54414,0.32166999999999996,1.01899,0,0.175143,0.230121
356,pion,1.36828,0.42313500000000004,0.987891,0,0.044586900000000006,0.335775
357,pion,3.09331,0.184075,1.00512,9,0.183886,0.346441
358,proton,2.83406,0.30251999999999996,0.9521719999999999,0,0.141268,0.349416
359,pion,2.13016,0.23293200000000003,1.01119,0,0.040100699999999996,0.047562400000000005
360,proton,2.9948900000000003,0.18837,0.957009,0,0.0280613,0.203342
